Slots: 11, Shifts: 19, Iterations: 838, Clashes: 6
Slots: 29, Shifts: 18, Iterations: 792, Clashes: 0
Slots: 17, Shifts: 23, Iterations: 960, Clashes: 0
Slots: 9, Shifts: 24, Iterations: 34, Clashes: 74
Slots: 23, Shifts: 21, Iterations: 880, Clashes: 0
Slots: 17, Shifts: 16, Iterations: 145, Clashes: 0
Slots: 9, Shifts: 15, Iterations: 642, Clashes: 72
Slots: 9, Shifts: 20, Iterations: 316, Clashes: 96
Slots: 11, Shifts: 22, Iterations: 652, Clashes: 8
Slots: 7, Shifts: 15, Iterations: 206, Clashes: 276
Slots: 9, Shifts: 22, Iterations: 177, Clashes: 66
Slots: 20, Shifts: 17, Iterations: 626, Clashes: 0
Slots: 15, Shifts: 18, Iterations: 752, Clashes: 0
Slots: 23, Shifts: 21, Iterations: 177, Clashes: 0
Slots: 11, Shifts: 24, Iterations: 607, Clashes: 12
Slots: 28, Shifts: 23, Iterations: 100, Clashes: 0
Slots: 19, Shifts: 23, Iterations: 867, Clashes: 0
Slots: 9, Shifts: 19, Iterations: 376, Clashes: 92
Slots: 5, Shifts: 21, Iterations: 793, Clashes: 556
Slots: 16, Shifts: 20, Iterations: 207, Clashes: 0
Slots: 24, Shifts: 15, Iterations: 374, Clashes: 0
Slots: 29, Shifts: 18, Iterations: 66, Clashes: 0
Slots: 11, Shifts: 25, Iterations: 760, Clashes: 8
Slots: 11, Shifts: 19, Iterations: 626, Clashes: 6
Slots: 5, Shifts: 15, Iterations: 564, Clashes: 1066
Slots: 5, Shifts: 19, Iterations: 600, Clashes: 500
Slots: 5, Shifts: 19, Iterations: 954, Clashes: 500
Slots: 13, Shifts: 16, Iterations: 174, Clashes: 0
Slots: 24, Shifts: 22, Iterations: 68, Clashes: 0
Slots: 5, Shifts: 16, Iterations: 703, Clashes: 556
Slots: 6, Shifts: 23, Iterations: 424, Clashes: 384
Slots: 5, Shifts: 18, Iterations: 362, Clashes: 444
Slots: 12, Shifts: 21, Iterations: 900, Clashes: 2
Slots: 18, Shifts: 19, Iterations: 81, Clashes: 0
Slots: 25, Shifts: 24, Iterations: 878, Clashes: 0
Slots: 15, Shifts: 15, Iterations: 480, Clashes: 0
Slots: 16, Shifts: 17, Iterations: 348, Clashes: 0
Slots: 12, Shifts: 24, Iterations: 636, Clashes: 2
Slots: 5, Shifts: 15, Iterations: 973, Clashes: 1066
Slots: 8, Shifts: 15, Iterations: 494, Clashes: 156
Slots: 18, Shifts: 25, Iterations: 876, Clashes: 0
Slots: 19, Shifts: 25, Iterations: 627, Clashes: 0
Slots: 26, Shifts: 23, Iterations: 458, Clashes: 0
Slots: 29, Shifts: 15, Iterations: 29, Clashes: 0
Slots: 26, Shifts: 16, Iterations: 978, Clashes: 0
Slots: 10, Shifts: 25, Iterations: 550, Clashes: 30
Slots: 5, Shifts: 20, Iterations: 338, Clashes: 1066
Slots: 5, Shifts: 17, Iterations: 259, Clashes: 468
Slots: 9, Shifts: 17, Iterations: 71, Clashes: 98
Slots: 8, Shifts: 21, Iterations: 960, Clashes: 126
Slots: 23, Shifts: 16, Iterations: 682, Clashes: 0
Slots: 6, Shifts: 15, Iterations: 98, Clashes: 406
Slots: 30, Shifts: 24, Iterations: 472, Clashes: 0
Slots: 17, Shifts: 19, Iterations: 158, Clashes: 0
Slots: 17, Shifts: 16, Iterations: 942, Clashes: 0
Slots: 10, Shifts: 17, Iterations: 909, Clashes: 16
Slots: 25, Shifts: 19, Iterations: 927, Clashes: 0
Slots: 8, Shifts: 17, Iterations: 713, Clashes: 166
Slots: 28, Shifts: 16, Iterations: 310, Clashes: 0
Slots: 5, Shifts: 23, Iterations: 950, Clashes: 444
Slots: 24, Shifts: 16, Iterations: 506, Clashes: 0
Slots: 12, Shifts: 15, Iterations: 867, Clashes: 2
Slots: 18, Shifts: 18, Iterations: 122, Clashes: 0
Slots: 19, Shifts: 23, Iterations: 259, Clashes: 0
Slots: 10, Shifts: 23, Iterations: 273, Clashes: 28
Slots: 7, Shifts: 23, Iterations: 326, Clashes: 238
Slots: 8, Shifts: 17, Iterations: 480, Clashes: 166
Slots: 23, Shifts: 22, Iterations: 887, Clashes: 0
Slots: 20, Shifts: 18, Iterations: 377, Clashes: 0
Slots: 21, Shifts: 23, Iterations: 359, Clashes: 0
Slots: 15, Shifts: 19, Iterations: 942, Clashes: 0
Slots: 30, Shifts: 22, Iterations: 959, Clashes: 0
Slots: 18, Shifts: 22, Iterations: 350, Clashes: 0
Slots: 10, Shifts: 18, Iterations: 853, Clashes: 30
Slots: 5, Shifts: 17, Iterations: 256, Clashes: 468
Slots: 14, Shifts: 15, Iterations: 900, Clashes: 0
Slots: 9, Shifts: 15, Iterations: 914, Clashes: 72
Slots: 8, Shifts: 18, Iterations: 371, Clashes: 254
Slots: 10, Shifts: 19, Iterations: 908, Clashes: 46
Slots: 12, Shifts: 15, Iterations: 942, Clashes: 2
Slots: 16, Shifts: 19, Iterations: 497, Clashes: 0
Slots: 13, Shifts: 18, Iterations: 66, Clashes: 0
Slots: 6, Shifts: 16, Iterations: 921, Clashes: 386
Slots: 10, Shifts: 15, Iterations: 838, Clashes: 30
Slots: 5, Shifts: 15, Iterations: 50, Clashes: 1066
Slots: 5, Shifts: 15, Iterations: 599, Clashes: 1066
Slots: 15, Shifts: 16, Iterations: 354, Clashes: 0
Slots: 11, Shifts: 19, Iterations: 275, Clashes: 6
Slots: 10, Shifts: 17, Iterations: 741, Clashes: 16
Slots: 13, Shifts: 18, Iterations: 181, Clashes: 0
Slots: 13, Shifts: 16, Iterations: 541, Clashes: 0
Slots: 16, Shifts: 18, Iterations: 887, Clashes: 0
Slots: 14, Shifts: 19, Iterations: 320, Clashes: 0
Slots: 7, Shifts: 17, Iterations: 162, Clashes: 200
Slots: 6, Shifts: 19, Iterations: 563, Clashes: 404
